Foreign,English,seen,correct,wrong,known
simplement,simply,0,0,0,0
femmes,women,0,0,0,0
général,general,0,0,0,0
formation,training,0,0,0,0
situation,situation,0,0,0,0
porte,door,0,0,0,0
nombreux,many,0,0,0,0
film,movie,0,0,0,0
semble,seems,0,0,0,0
base,base,0,0,0,0
argent,money,0,0,0,0
nouvelles,news,0,0,0,0
idée,idea,0,0,0,0
marché,walk,0,0,0,0
quel,what,0,0,0,0
cause,cause,0,0,0,0
belle,beautiful,0,0,0,0
type,kind,0,0,0,0
esprit,spirit,0,0,0,0
public,audience,0,0,0,0
passé,pass,0,0,0,0
parfois,Sometimes,0,0,0,0
pourtant,Yet,0,0,0,0
donne,given,0,0,0,0
aucune,none,0,0,0,0
parler,talk,0,0,0,0
loi,law,0,0,0,0
autant,as much,0,0,0,0
propre,own,0,0,0,0
haut,high,0,0,0,0
dernière,last,0,0,0,0
autour,around,0,0,0,0
santé,health,0,0,0,0
membres,members,0,0,0,0
agit,acts,0,0,0,0
gouvernement,government,0,0,0,0
plan,plan,0,0,0,0
programme,program,0,0,0,0
livre,book,0,0,0,0
fille,girl,0,0,0,0
gros,fat,0,0,0,0
cependant,However,0,0,0,0
genre,gender,0,0,0,0
doute,doubt,0,0,0,0
d'ailleurs,Besides,0,0,0,0
fort,strong,0,0,0,0
vais,go,0,0,0,0
semaine,week,0,0,0,0
vient,come,0,0,0,0
aura,will have,0,0,0,0
mesure,measure,0,0,0,0
père,father,0,0,0,0
jouer,play,0,0,0,0
guerre,war,0,0,0,0
peux,can,0,0,0,0
chacun,each,0,0,0,0
lire,read,0,0,0,0
sécurité,security,0,0,0,0
journée,daytime,0,0,0,0
titre,title,0,0,0,0
cadre,frame,0,0,0,0
enfant,child,0,0,0,0
certaines,some,0,0,0,0
entreprises,companies,0,0,0,0
presque,almost,0,0,0,0
soir,evening,0,0,0,0
vite,quickly,0,0,0,0
êtes,are,0,0,0,0
page,page,0,0,0,0
amour,love,0,0,0,0
important,important,0,0,0,0
action,action,0,0,0,0
nuit,night,0,0,0,0
quatre,four,0,0,0,0
offre,offer,0,0,0,0
heure,hour,0,0,0,0
mariage,marriage,0,0,0,0
force,strength,0,0,0,0
doivent,must,0,0,0,0
produit,product,0,0,0,0
retour,back,0,0,0,0
région,region,0,0,0,0
grands,big,0,0,0,0
différents,different,0,0,0,0
points,points,0,0,0,0
blog,blog,0,0,0,0
message,message,0,0,0,0
questions,questions,0,0,0,0
utiliser,to use,0,0,0,0
obtenir,get,0,0,0,0
informations,information,0,0,0,0
musique,music,0,0,0,0
plaisir,pleasure,0,0,0,0
vont,are going,0,0,0,0
petits,small,0,0,0,0
or,gold,0,0,0,0
devrait,should,0,0,0,0
nature,nature,0,0,0,0
ta,your,0,0,0,0
malgré,despite,0,0,0,0
aider,help,0,0,0,0
sûr,on,0,0,0,0
an,year,0,0,0,0
laquelle,which,0,0,0,0
image,picture,0,0,0,0
parmi,among,0,0,0,0
quelle,what,0,0,0,0
d'abord,First of all,0,0,0,0
information,information,0,0,0,0
conditions,terms,0,0,0,0
tard,late,0,0,0,0
données,data,0,0,0,0
millions,millions,0,0,0,0
fonction,function,0,0,0,0
voilà,There,0,0,0,0
gestion,management,0,0,0,0
occasion,occasion,0,0,0,0
tel,such,0,0,0,0
rendre,give back,0,0,0,0
but,aim,0,0,0,0
comprendre,to understand,0,0,0,0
sait,knows,0,0,0,0
donné,given,0,0,0,0
ordre,order,0,0,0,0
moyen,AVERAGE,0,0,0,0
terme,term,0,0,0,0
attention,attention,0,0,0,0
Europe,Europe,0,0,0,0
nouveaux,new,0,0,0,0
plein,full,0,0,0,0
arrive,arrived,0,0,0,0
difficile,difficult,0,0,0,0
salle,room,0,0,0,0
risque,risk,0,0,0,0
expérience,experience,0,0,0,0
écrit,writing,0,0,0,0
fond,bottom,0,0,0,0
veux,want,0,0,0,0
parti,party,0,0,0,0
plupart,most,0,0,0,0
existe,exists,0,0,0,0
longtemps,a long time,0,0,0,0
pouvait,could,0,0,0,0
sites,sites,0,0,0,0
intérieur,interior,0,0,0,0
mère,mother,0,0,0,0
mai,may,0,0,0,0
art,art,0,0,0,0
fais,do ,0,0,0,0
prend,takes,0,0,0,0
voix,voice,0,0,0,0
étais,was,0,0,0,0
sein,breast,0,0,0,0
beau,beautiful,0,0,0,0
école,school,0,0,0,0
espace,space,0,0,0,0
particulier,particular,0,0,0,0
amis,friends,0,0,0,0
bas,down,0,0,0,0
sinon,Otherwise,0,0,0,0
euros,euros,0,0,0,0
création,creation,0,0,0,0
fils,son,0,0,0,0
avis,notice,0,0,0,0
rôle,role,0,0,0,0
activités,activities,0,0,0,0
sorte,sort,0,0,0,0
valeur,value,0,0,0,0
environ,approximately,0,0,0,0
période,period,0,0,0,0
regard,glance,0,0,0,0
différentes,different,0,0,0,0
utilisation,use,0,0,0,0
réponse,answer,0,0,0,0
prise,socket,0,0,0,0
presents,presents,0,0,0,0
